Species,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ,BA,BD
Cercis_canadensis,,11/9/19,10/21/19,1/12/20,1/2/20,12/2/19,11/18/19,11/26/19,12/4/19,12/7/19,12/18/19,12/26/19,12/23/19,1/3/20,1/6/20,1/13/20,1/19/20,1/24/20,1/26/20,2/2/20,2/7/20,2/12/20,2/20/20,2/27/20,3/5/20,3/9/20,3/15/20,3/23/20
Cercis_canadensis,,11/22/19,11/15/19,1/23/20,1/9/20,12/23/19,11/20/19,12/1/19,12/10/19,1/5/20,12/19/19,12/29/19,12/26/19,1/3/20,1/8/20,1/14/20,1/20/20,1/24/20,1/29/20,2/3/20,2/7/20,2/12/20,2/20/20,2/27/20,3/5/20,3/10/20,3/15/20,3/23/20
Cercis_canadensis,,12/6/19,1/2/20,,3/8/20,1/2/20,11/22/19,12/1/19,1/20/20,1/20/20,12/21/19,12/31/19,12/26/19,1/4/20,1/8/20,1/15/20,1/20/20,1/25/20,1/29/20,2/5/20,2/7/20,2/13/20,2/20/20,2/27/20,3/5/20,3/10/20,3/15/20,3/23/20
Cercis_canadensis,,,,,,2/9/20,11/26/19,12/1/19,1/24/20,2/9/20,12/25/19,1/1/20,12/26/19,1/4/20,1/9/20,1/15/20,1/20/20,1/26/20,1/29/20,2/5/20,2/8/20,2/13/20,2/20/20,2/27/20,3/5/20,3/10/20,3/16/20,3/23/20
Cercis_canadensis,,,,,,,12/1/19,12/5/19,1/24/20,2/19/20,12/25/19,1/1/20,12/28/19,1/5/20,1/9/20,1/15/20,1/22/20,1/26/20,1/30/20,2/6/20,2/8/20,2/13/20,2/21/20,2/28/20,3/5/20,3/10/20,3/16/20,3/23/20
Cercis_canadensis,,,,,,,12/1/19,12/11/19,3/6/20,,1/8/20,1/4/20,12/29/19,1/5/20,1/10/20,1/16/20,1/22/20,1/29/20,1/30/20,2/9/20,2/8/20,2/13/20,2/21/20,2/28/20,3/5/20,3/11/20,3/16/20,3/23/20
Cercis_canadensis,,,,,,,1/17/20,12/18/19,,,,,12/29/19,1/6/20,1/10/20,1/16/20,1/23/20,1/29/20,1/30/20,,2/9/20,2/13/20,2/21/20,2/28/20,3/6/20,3/11/20,3/16/20,3/23/20
Cercis_canadensis,,,,,,,,12/25/19,,,,,12/30/19,1/6/20,1/12/20,1/19/20,1/24/20,1/29/20,1/31/20,,2/9/20,2/14/20,2/21/20,2/28/20,3/6/20,3/11/20,3/16/20,3/23/20
Cercis_canadensis,,,,,,,,12/30/19,,,,,12/31/19,1/7/20,1/13/20,1/20/20,1/24/20,1/31/20,1/31/20,,2/9/20,2/17/20,2/22/20,2/28/20,3/6/20,3/11/20,3/16/20,3/23/20
Cercis_canadensis,,,,,,,,1/5/20,,,,,1/1/20,,1/14/20,,1/25/20,1/31/20,1/31/20,,2/12/20,2/18/20,2/22/20,2/28/20,3/6/20,3/12/20,3/16/20,3/24/20
Cornus_florida,,,,,,,,,,,,,,,1/12/20,,1/24/20,1/24/20,2/1/20,2/9/20,2/14/20,2/17/20,2/26/20,3/2/20,3/8/20,3/12/20,3/16/20,
Cornus_florida,,,,,,,,,,,,,,,,,,1/26/20,2/5/20,2/9/20,2/14/20,2/17/20,2/26/20,3/3/20,3/8/20,3/12/20,3/16/20,
Cornus_florida,,,,,,,,,,,,,,,,,,1/26/20,,2/10/20,,2/18/20,2/26/20,3/3/20,3/9/20,3/13/20,3/16/20,
Cornus_florida,,,,,,,,,,,,,,,,,,1/26/20,,,,2/18/20,2/28/20,3/4/20,3/9/20,3/13/20,3/17/20,
Cornus_florida,,,,,,,,,,,,,,,,,,1/29/20,,,,2/21/20,2/28/20,3/4/20,3/9/20,3/14/20,3/17/20,
Cornus_florida,,,,,,,,,,,,,,,,,,2/1/20,,,,2/21/20,,,3/10/20,3/15/20,3/17/20,
Cornus_florida,,,,,,,,,,,,,,,,,,,,,,,,,3/10/20,3/18/20,3/17/20,
Cornus_florida,,,,,,,,,,,,,,,,,,,,,,,,,3/11/20,,3/18/20,
Cornus_florida,,,,,,,,,,,,,,,,,,,,,,,,,,,3/19/20,
Cornus_florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus_mas,,,,,,,,,,12/10/19,12/10/19,12/19/19,12/17/19,12/25/19,12/30/19,1/5/20,1/11/20,1/16/20,1/22/20,1/29/20,2/5/20,2/10/20,2/19/20,2/26/20,3/3/20,3/8/20,,
Cornus_mas,,,,,,,,,,12/21/19,12/15/19,12/20/19,12/19/19,12/25/19,12/30/19,1/6/20,1/12/20,1/16/20,1/23/20,1/30/20,2/5/20,2/10/20,2/19/20,2/26/20,3/4/20,3/9/20,,
Cornus_mas,,,,,,,,,,12/30/19,12/15/19,12/20/19,12/21/19,12/26/19,12/31/19,1/6/20,1/12/20,1/16/20,1/23/20,1/30/20,2/5/20,2/11/20,2/20/20,2/26/20,3/4/20,3/9/20,,
Cornus_mas,,,,,,,,,,,12/15/19,12/21/19,12/21/19,12/26/19,1/1/20,1/6/20,1/12/20,1/16/20,1/24/20,1/30/20,2/5/20,2/11/20,2/20/20,2/26/20,3/4/20,3/9/20,,
Cornus_mas,,,,,,,,,,,12/16/19,12/21/19,12/21/19,12/28/19,1/1/20,1/6/20,1/12/20,1/17/20,1/24/20,1/30/20,2/5/20,2/11/20,2/20/20,2/26/20,3/4/20,3/9/20,,
