Species,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX
Cercis_canadensis,,,,11/16/20,,11/30/20,11/19/20,11/25/20,11/28/20,12/8/20,12/14/20,12/19/20,12/28/20,1/2/21,1/9/21,1/12/21,1/22/21,1/26/21,2/1/21,2/7/21,2/7/21,2/15/21,2/20/21,2/28/21
Cercis_canadensis,,,,12/1/20,,12/11/20,11/21/20,11/28/20,11/30/20,12/10/20,12/14/20,12/19/20,12/29/20,1/3/21,1/10/21,1/15/21,1/23/21,1/27/21,2/1/21,2/8/21,2/8/21,2/15/21,2/21/21,2/28/21
Cercis_canadensis,,,,,,,11/21/20,11/30/20,11/30/20,12/11/20,12/16/20,12/20/20,12/30/20,1/3/21,1/10/21,1/15/21,1/23/21,1/27/21,2/1/21,2/8/21,2/12/21,2/15/21,2/21/21,2/28/21
Cercis_canadensis,,,,,,,12/1/20,12/8/20,12/1/20,12/13/20,12/17/20,12/21/20,12/31/20,1/4/21,1/10/21,1/15/21,1/23/21,1/28/21,2/2/21,2/8/21,2/12/21,2/16/21,2/21/21,2/28/21
Cercis_canadensis,,,,,,,12/1/20,12/28/20,12/1/20,,12/17/20,12/21/20,1/1/21,1/4/21,1/11/21,1/16/21,1/23/21,1/28/21,2/2/21,2/9/21,2/12/21,2/16/21,2/22/21,2/28/21
Cercis_canadensis,,,,,,,12/3/20,,12/3/20,,12/18/20,12/21/20,1/2/21,1/5/21,1/11/21,1/16/21,1/24/21,1/29/21,2/3/21,2/9/21,2/12/21,2/18/21,2/22/21,2/28/21
Cercis_canadensis,,,,,,,12/4/20,,12/5/20,,12/25/20,12/22/20,1/3/21,1/5/21,1/12/21,1/17/21,1/24/21,1/29/21,2/3/21,2/9/21,2/14/21,2/18/21,2/22/21,2/28/21
Cercis_canadensis,,,,,,,12/8/20,,12/13/20,,12/28/20,12/22/20,1/3/21,1/6/21,1/15/21,1/18/21,1/26/21,1/29/21,2/5/21,2/10/21,2/14/21,2/19/21,2/22/21,3/1/21
Cercis_canadensis,,,,,,,1/20/21,,,,2/8/21,12/24/20,1/4/21,1/7/21,1/19/21,1/19/21,1/26/21,1/29/21,2/5/21,2/15/21,2/15/21,2/20/21,2/22/21,3/1/21
Cercis_canadensis,,,,,,,,,,,,1/4/21,1/5/21,1/9/21,,,1/29/21,1/30/21,2/8/21,,2/15/21,2/24/21,2/23/21,3/1/21
Cornus_florida,,,,,,,,,2/15/21,2/1/21,,,,1/16/21,,,1/28/21,1/26/21,2/3/21,2/10/21,2/14/21,2/20/21,2/26/21,
Cornus_florida,,,,,,,,,,,,,,1/19/21,,,,1/28/21,2/6/21,,2/14/21,2/21/21,2/26/21,
Cornus_florida,,,,,,,,,,,,,,,,,,1/28/21,2/11/21,,2/16/21,2/21/21,2/26/21,
Cornus_florida,,,,,,,,,,,,,,,,,,1/28/21,,,,2/21/21,2/27/21,
Cornus_florida,,,,,,,,,,,,,,,,,,1/29/21,,,,,2/27/21,
Cornus_florida,,,,,,,,,,,,,,,,,,1/30/21,,,,,2/27/21,
Cornus_florida,,,,,,,,,,,,,,,,,,2/4/21,,,,,2/27/21,
Cornus_florida,,,,,,,,,,,,,,,,,,,,,,,2/27/21,
Cornus_florida,,,,,,,,,,,,,,,,,,,,,,,,
Cornus_florida,,,,,,,,,,,,,,,,,,,,,,,,
Cornus_mas,,,,,,,,,1/9/21,12/13/20,12/9/20,12/15/20,12/21/20,12/26/20,12/31/20,1/4/21,1/11/21,1/18/21,1/24/21,1/31/21,2/6/21,2/13/21,2/19/21,2/26/21
Cornus_mas,,,,,,,,,,12/15/20,12/10/20,12/16/20,12/24/20,12/26/20,1/1/21,1/4/21,1/12/21,1/18/21,1/24/21,1/31/21,2/7/21,2/13/21,2/20/21,2/26/21
Cornus_mas,,,,,,,,,,12/20/20,12/11/20,12/18/20,12/25/20,12/27/20,1/2/21,1/5/21,1/12/21,1/19/21,1/24/21,1/31/21,2/7/21,2/13/21,2/20/21,2/26/21
Cornus_mas,,,,,,,,,,12/25/20,12/13/20,12/19/20,12/25/20,12/27/20,1/2/21,1/5/21,1/12/21,1/19/21,1/25/21,1/31/21,2/7/21,2/13/21,2/20/21,2/26/21
Cornus_mas,,,,,,,,,,12/26/20,12/14/20,12/20/20,12/26/20,12/27/20,1/2/21,1/5/21,1/12/21,1/19/21,1/25/21,1/31/21,2/7/21,2/14/21,2/20/21,2/26/21
Cornus_mas,,,,,,,,,,12/28/20,12/16/20,12/21/20,12/27/20,12/28/20,1/2/21,1/5/21,1/13/21,1/20/21,1/25/21,1/31/21,2/7/21,2/14/21,2/20/21,2/26/21
Cornus_mas,,,,,,,,,,12/29/20,12/17/20,12/21/20,12/28/20,12/28/20,1/2/21,1/6/21,1/13/21,1/20/21,1/25/21,2/1/21,2/7/21,2/14/21,2/20/21,2/27/21
