Species,Temperature,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/18/20
Acer_rubrum,22,20.8,22.9,17.6,,12,6,7.6,9.6,8.3,5.3,,,,,,,,,,,,,,,,,,,,,,,,
Acer_rubrum,22,21.2,23.3,18.6,,13.4,8.6,8.6,11.3,9.3,5.9,,,,,,,,,,,,,,,,,,,,,,,,
Acer_rubrum,22,22.2,23.7,19.2,,14.1,10.8,11.1,12.5,10,9.4,,,,,,,,,,,,,,,,,,,,,,,,
Acer_rubrum,22,23,24.1,19.8,,15,12.6,12.9,13.9,10.9,13,,,,,,,,,,,,,,,,,,,,,,,,
Acer_rubrum,22,23.2,24.7,20.1,,15.7,13.6,13.9,14.2,11.6,14.5,,,,,,,,,,,,,,,,,,,,,,,,
Acer_rubrum,22,23.8,25.2,20.5,,17,14.9,14.6,14.6,12.1,15.6,,,,,,,,,,,,,,,,,,,,,,,,
Acer_rubrum,22,24.4,25.6,21.6,,17.4,15.6,15.8,15.6,13.1,16.4,,,,,,,,,,,,,,,,,,,,,,,,
Acer_rubrum,22,24.8,25.1,21.8,,18.3,16.9,16.4,16.5,13.7,15.4,,,,,,,,,,,,,,,,,,,,,,,,
Acer_rubrum,22,25.1,26.7,22.2,,19.1,17.4,16.9,17.3,14.1,13.2,,,,,,,,,,,,,,,,,,,,,,,,
Acer_rubrum,22,26.3,24.9,23.1,,20.3,18.1,18,17.7,14.7,11.1,,,,,,,,,,,,,,,,,,,,,,,,
Cercis_canadensis,22,12.1,13,12,,6.7,5.4,,5.9,5.5,5.9,,,,,,,,,,,,,,,,,,,,,,,,
Cercis_canadensis,22,12.8,13.2,12.4,,7.3,7.4,,6.9,6,6.3,,,,,,,,,,,,,,,,,,,,,,,,
Cercis_canadensis,22,13.5,13.6,13.5,,7.6,7.6,,7.5,6.4,6.6,,,,,,,,,,,,,,,,,,,,,,,,
Cercis_canadensis,22,14.2,13.9,13.6,,8.2,8.1,,7.9,6.6,7,,,,,,,,,,,,,,,,,,,,,,,,
Cercis_canadensis,22,14.3,14.2,16.1,,8.9,8.4,,8.4,7,7.8,,,,,,,,,,,,,,,,,,,,,,,,
Cercis_canadensis,22,14.9,14.9,17.5,,9.7,8.7,,9.2,7.2,8,,,,,,,,,,,,,,,,,,,,,,,,
Cercis_canadensis,22,15.4,,,,11,9.5,,8.8,7.6,8.3,,,,,,,,,,,,,,,,,,,,,,,,
Cercis_canadensis,22,15.8,,,,,9.8,,9.7,7.9,8.7,,,,,,,,,,,,,,,,,,,,,,,,
Cercis_canadensis,22,17,,,,,10.3,,10.3,8.1,,,,,,,,,,,,,,,,,,,,,,,,,
Cercis_canadensis,22,17.3,,,,,,,10.5,12.1,,,,,,,,,,,,,,,,,,,,,,,,,
Forsythia,22,15.5,3.9,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forsythia,22,20.6,3.9,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forsythia,22,21.9,4,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forsythia,22,22.3,4.5,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forsythia,22,22.5,17.5,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forsythia,22,22.6,18.5,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forsythia,22,22.7,18.9,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forsythia,22,23,22.2,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forsythia,22,,22.4,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forsythia,22,,,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus_mas,22,15.2,6.6,5.8,,7.7,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus_mas,22,17.7,9.1,8.9,,9.3,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus_mas,22,18.8,12.5,12.8,,10.3,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus_mas,22,20.1,14.4,16.8,,11.2,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus_mas,22,21.1,17.2,17.3,,11.9,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus_mas,22,21.7,20.2,18,,13.3,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus_mas,22,22.6,20.4,18.5,,14.4,,,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus_mas,22,22.9,21.1,19.1,,15.6,,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus_mas,22,23.3,22,19.7,,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus_mas,22,24.4,22.8,20.3,,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
