Species,210112AR30,210113AR30,210114AR30,210115AR30,210116AR30,210117AR30,210119AR30,210120AR30,210123AR30,210128AR30,210112AR22,210113AR22,210114AR22,210115AR22,210116AR22,210117AR22,210119AR22,210120AR22,210121AR22,210122AR22,210125AR22,210127AR22,210128AR22,210131AR22,210212AR22,210112AR15,210115AR15,210116AR15,210120AR15,210121AR15,210122AR15,210123AR15,210124AR15,210125AR15,210127AR15,210130AR15,210131AR15,210206AR15,210222AR15,210112AR11,210116AR11,210121AR11,210122AR11,210125AR11,210129AR11,210131AR11,210202AR11,210206AR11,210208AR11,210210AR11,210215AR11,210223AR11,210112AR07,210122AR07,210126AR07,210128AR07,210129AR07,210206AR07,210208AR07,210215AR07,210216AR07,210227AR07,210112AR04,210122AR04,210131AR04,210201AR04,210206AR04,210216AR04,210218AR04,210219AR04,210112AR02,210122AR02,210203AR02,210205AR02,210219AR02,210222AR02,210112AT11,210113AT11,210115AT11,210116AT11,210117AT11,210119AT11,210123AT11
Cercis_canadensis,13.3,14.2,11.9,12,11,12.7,7.9,,6.2,5,13.3,,15.9,14.5,,12.9,,,13.5,11.9,,,5.6,7,,13.3,,,,,,13.1,,,,10.7,,6.9,,13.3,,,,13.6,,,14.1,,13.2,9.8,4.6,,13.3,,,15.8,,,13.3,12.9,,7.1,13.3,,14.9,,,13.8,14.3,,13.3,,15.6,,14.4,,,,,,,,
Cercis_canadensis,14.2,14.8,12.6,12.1,11.7,12.8,8.3,,6.9,5.8,14.2,,16.4,14.8,,13.3,,,14.3,12.1,,,6.6,7.2,,14.2,,,,,,13.9,,,,10.9,,7.7,,14.2,,,,14.2,,,14.4,,14.4,10.4,8,,14.2,,,17.1,,,13.5,13.4,,7.3,14.2,,15.3,,,14.3,14.8,,14.2,,16.1,,15,,,,,,,,
Cercis_canadensis,14.6,14.6,12.8,12.5,12.4,13.1,9,,7.6,6,14.6,,16.6,15.1,,13.5,,,14.4,12.7,,,6.9,7.3,,14.6,,,,,,14,,,,11.2,,7.9,,14.6,,,,14.3,,,14.8,,14.6,10.7,8.3,,14.6,,,18.1,,,14.1,13.8,,7.7,14.6,,15.8,,,15.1,15.8,,14.6,,17.4,,15.3,,,,,,,,
Cercis_canadensis,15,15,13.1,12.8,12.8,13.4,9.2,,8.4,7.1,15,,16.7,15.4,,13.8,,,14.6,13.1,,,7.2,7.9,,15,,,,,,14.3,,,,11.6,,8.1,,15,,,,14.6,,,15.4,,15.3,11.5,9,,15,,,18.6,,,14.4,14.6,,8.1,15,,16.1,,,15.3,16,,15,,17.7,,15.5,,,,,,,,
Cercis_canadensis,15.3,15.2,13.4,12.9,13.1,13.5,9.6,,8.9,7.3,15.3,,17.2,15.8,,14.1,,,15.2,13.6,,,7.8,8.3,,15.3,,,,,,14.5,,,,12.3,,8.4,,15.3,,,,15.1,,,16,,15.7,11.9,9.8,,15.3,,,19.2,,,15,15,,8.6,15.3,,16.4,,,15.7,16.5,,15.3,,18.1,,15.8,,,,,,,,
Cercis_canadensis,15.8,15.7,13.6,13.2,13.3,13.7,10,,9.1,8.2,15.8,,17.6,16.6,,14.5,,,15.2,13.8,,,7.9,8.4,,15.8,,,,,,14.8,,,,13.1,,9.9,,15.8,,,,15.6,,,16.9,,16.6,12.2,10.1,,15.8,,,19.4,,,15.2,15.5,,8.9,15.8,,16.5,,,16.1,17.4,,15.8,,18.8,,16.1,,,,,,,,
Cercis_canadensis,16.4,15.8,14,13.4,13.5,13.8,10.8,,9.7,9.3,16.4,,17.7,16.7,,15,,,15.1,14.1,,,8.3,8.6,,16.4,,,,,,15.2,,,,13.7,,10.2,,16.4,,,,16.3,,,17.1,,17.5,12.6,9.2,,16.4,,,20.3,,,15.9,16.1,,8.9,16.4,,16.8,,,16.4,18,,16.4,,19.9,,17,,,,,,,,
Cercis_canadensis,16.8,16,14.3,13.8,13.9,14.1,13.8,,10.7,9.8,16.8,,17.9,18.8,,15.2,,,15.6,14.3,,,9.8,9.1,,16.8,,,,,,15.4,,,,14.6,,11.2,,16.8,,,,16.8,,,20.1,,20,13.8,11.2,,16.8,,,21.4,,,13.9,16.5,,9.8,16.8,,16.8,,,16.7,18.8,,16.8,,20.8,,17.7,,,,,,,,
Cercis_canadensis,17.6,16.3,14.8,14.5,14.4,14.3,9.5,,11.5,10.3,17.6,,21.8,19.6,,15.7,,,15.9,15.4,,,11.1,9.8,,17.6,,,,,,15.6,,,,15.8,,11.7,,17.6,,,,17.2,,,21.3,,23.4,18.8,12.1,,17.6,,,21.7,,,,17.7,,13.6,17.6,,17.4,,,17.7,19.3,,17.6,,22.4,,18.6,,,,,,,,
Cercis_canadensis,17.8,17.2,15.1,15.9,15.4,14.5,,,12.1,11.2,17.8,,,20.4,,13.8,,,19.1,16.4,,,12.5,7.6,,17.8,,,,,,16.9,,,,16.6,,12.7,,17.8,,,,15.2,,,15.7,,,10.2,9.4,,17.8,,,18,,,,,,8.3,17.8,,17.6,,,18.4,19.6,,17.8,,18.9,,16,,,,,,,,
